# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Mon Sep 26 16:02:47 EDT 2022 [seed=27602]
# -beagle_scaling always -overwrite -threads 8 -beagle_SSE -beagle_opencl -beagle_instances 4 -seed 27602 -errors 1000 omicron_SC_EXP_lamda_500M_fixedclock_gamma.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	alpha	clock.rate	meanRate	copies.precision.col1	copies.varCovar.copies.precision.col1	copies.diffusionRate	copies.lambda	treeLikelihood	branchRates	copies.traitLikelihood	coalescent
0	-88906.62011636714	-254.0295232977612	-88652.59059306937	2.0717259859635284	2020.4378630140366	18.83054735065482	1.0	0.0	2.0	0.5	0.0011	0.0010999999999999996	0.05	20.0	1.9286952774712478	0.5	-77915.24044424722	0.0	-10737.350148822155	-247.51838578949008
50000	-61696.87979902667	-794.4638908889667	-60902.4159081377	6.962790181259454	2015.5467988187406	101.45584396333884	8.114389964235324	-0.15968585221398257	1.5684525200214248	0.014890150213346798	0.0011	0.0011000000000000003	7.377755947451119E-4	1355.4256973565002	1.7586828743341054	0.8707657336150927	-60344.72736764019	0.0	-557.6885404975119	-788.3386411215573
100000	-60807.53892892132	-731.4788481090037	-60076.06008081231	6.196608392582702	2016.3129806074173	89.58680114669754	4.512504994120035	-0.5815680571652975	1.6681377936416095	0.01560795536306693	0.0011	0.0011000000000000029	7.074956400524486E-4	1413.4362720961324	2.278724368500251	0.9122127509623917	-59522.22741823808	0.0	-553.8326625742363	-725.5743422544163
150000	-60563.2617427918	-731.4704660021006	-59831.7912767897	5.903556440631052	2016.606032559369	87.69580889617437	5.777477852260237	-0.3791941415343554	1.5872102053322823	0.016004425906999045	0.0011	0.0010999999999999988	6.314921885310834E-4	1583.5508628002258	5.108263928606357	0.9977051668475205	-59380.25707751872	0.0	-451.53419927098344	-721.8556632013949
200000	-60529.092186611335	-722.8539539100674	-59806.23823270127	6.289496448932763	2016.2200925510672	87.41491897669074	5.088926658795132	-0.5521412323341586	1.6369119076143965	0.023598466751428	0.0011	0.0011	9.217855181291374E-4	1084.8510638674463	4.695805386802522	0.9998445559796193	-59402.91624026211	0.0	-403.3219924391582	-710.4493667057224
250000	-60485.12860365919	-705.0793203973122	-59780.04928326188	5.624749960417937	2016.8848390395822	82.34157821700127	4.483723045974546	-0.4359409223546711	1.6047255357429322	0.0028975645856965473	0.0011	0.001100000000000001	8.850901258714719E-4	1129.8284443241148	5.2319674065756665	0.9997717253331754	-59387.81071224455	0.0	-392.2385710173242	-693.2617175477592
300000	-60479.39501388121	-716.4121418925852	-59762.98287198862	5.97543572450167	2016.5341532754983	85.73132822258611	4.823860948903767	-0.3161050675462034	1.6585224575028648	0.005299130100939215	0.0011	0.0011000000000000029	8.668282803687637E-4	1153.6310277908592	4.718098388171729	0.9998467251832172	-59372.1532059658	0.0	-390.8296660228201	-704.1078050004855
350000	-60503.94014357823	-707.4380717682747	-59796.502071809955	5.486709670904745	2017.0228793290953	82.69781100272041	4.241485096421004	-0.6939445246376486	1.5430689459049998	0.03632975293182292	0.0011	0.0011	0.001097825594686977	910.891497556249	4.621488578426101	0.9996625288914586	-59422.27580842387	0.0	-374.22626338608467	-695.9150534856616
400000	-60466.853079120374	-708.688522045435	-59758.16455707494	5.933370415620825	2016.5762185843791	83.62664607129555	3.52331411756766	-0.7426114333425424	1.672521518080555	0.025513077772556434	0.0011	0.0011000000000000003	0.0010479747553922857	954.2214589183234	4.630460424722951	0.9996625288914586	-59367.075722898895	0.0	-391.0888341760458	-697.3419803525143
450000	-60485.31862869262	-710.0169490996084	-59775.301679593016	5.6405082790203815	2016.8690807209796	84.12980088973289	4.551154684055793	-0.46525043344382433	1.5888453174842836	0.004771645736324613	0.0011	0.0010999999999999988	8.794159518555339E-4	1137.118331649589	4.684571950110106	0.9996625288914586	-59373.76629472409	0.0	-401.53538486892825	-698.5809763544241
500000	-60479.188202213714	-703.9159182313034	-59775.27228398241	6.294248287191369	2016.2153407128087	84.85240465215435	3.7737317274221915	-0.6710705782807642	1.5939031662134746	0.03834142077985883	0.0011	0.0011000000000000018	8.538695625138807E-4	1171.1390637416519	4.669480462316987	0.9998703237487713	-59385.37099226782	0.0	-389.90129171459637	-691.6544965861738
550000	-60454.415005158306	-699.2310105298661	-59755.18399462844	5.6837618976838655	2016.8258271023162	81.86557973937371	3.5152662689876237	-0.7761009110826103	1.5821943153845675	0.022716147144676884	0.0011	0.001100000000000001	9.797817691148253E-4	1020.6354430369129	4.546259424757698	0.9998703237487713	-59374.86213510118	0.0	-380.32185952725854	-687.0067363249486
600000	-60473.69634860248	-709.2091382104875	-59764.487210392	5.835993676276645	2016.6735953237232	84.04205268228138	3.499197512094152	-0.8073363378239562	1.5891460344708916	0.028122410302293538	0.0011	0.0010999999999999996	9.502911443038462E-4	1052.3090802162203	4.740880653130113	0.9998703237487713	-59380.23798705932	0.0	-384.24922333267716	-696.9907444419077
650000	-60455.88619630432	-704.7849475893281	-59751.101248714986	5.794894168157993	2016.714694831842	85.12155434537758	3.749708360501558	-0.7232422876930715	1.5699716347702035	0.031731832579852924	0.0011	0.0010999999999999985	8.892256348993324E-4	1124.573967228473	4.525920108673604	0.9998703237487713	-59367.54313655612	0.0	-383.5581121588605	-692.5321923359601
700000	-60463.24948834948	-697.2854313414251	-59765.96405700805	5.302518395033556	2017.2070706049665	82.7806208830793	3.4155678015346087	-0.8305983033980509	1.5327861215506313	0.030165414205972425	0.0011	0.0011	9.338435370030723E-4	1070.8431984326194	4.690721964031127	0.9998703237487713	-59390.99309666455	0.0	-374.970960343506	-685.1189336560852
750000	-60455.32529094787	-703.860857784053	-59751.46443316382	5.20005439545429	2017.3095346045457	82.75732999707077	3.528973830551056	-0.8207179885685907	1.6485801242773406	0.021621844037452972	0.0011	0.0010999999999999977	8.994007534532635E-4	1111.8514145785225	4.737949385400019	0.9998703237487713	-59366.59022659226	0.0	-384.87420657155445	-691.6498686162915
800000	-60441.691593186384	-701.2201110030503	-59740.47148218333	5.686103674204716	2016.8234853257952	81.76804589364221	2.8631185866234548	-0.844698353711437	1.4576511549495643	0.008318654931221168	0.0011	0.0011000000000000012	9.736194430207461E-4	1027.0953473334569	4.620486565915499	0.9998703237487713	-59358.90252771041	0.0	-381.56895447292345	-689.2837459967355
850000	-60438.03306002977	-703.1992883837318	-59734.83377164604	5.793182646323702	2016.7164063536763	83.02186616822786	3.6299116573028094	-0.8960549303707952	1.5391838374286353	0.004490581768029101	0.0011	0.0011000000000000014	0.0010812361173471346	924.8673661156905	4.4067009452156105	0.9998703237487713	-59359.397214016324	0.0	-375.4365576297129	-690.9466283404045
